Hatcheries ,Assay Type,Larval Species Tested,Water Type,Filtered/Unfiltered ,Treatment,Sample_ID,Replicate,Alive,Dead,% Mortality,Mortality,Control Average Mort,Control Average Mort  Percent,Percent Viability + Control Mortality,,Date of Assay,Note,,,,,,,,,,,,,,,,,,,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Tank Water 0.22um filter,Tank Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,AGX-R2 Acute Incoming Water 10um filter,3,107,0,0%,0,0,0%,100,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R2 Acute Shed Water Unfiltered,1,150,0,0%,0,0,0%,100,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R2 Acute Shed Water Unfiltered,2,139,0,0%,0,0,0%,100,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,AGX-R2 Acute Shed Water Unfiltered,3,104,0,0%,0,0,0%,100,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,AGX-R2 Acute Shed Water 0.22um filter,1,143,2,1%,1,0,0%,99,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,AGX-R2 Acute Shed Water 0.22um filter,2,151,3,2%,2,0,0%,98,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,AGX-R2 Acute Shed Water 0.22um filter,3,120,5,4%,4,0,0%,96,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,AGX-R2 Acute Shed Water 10um filter,1,87,2,2%,2,0,0%,98,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,AGX-R2 Acute Shed Water 10um filter,2,119,0,0%,0,0,0%,100,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,AGX-R2 Acute Shed Water 10um filter,3,96,4,4%,4,0,0%,96,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R3 Acute Tank Water Unfiltered,1,140,11,7%,7,3,3%,96,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R3 Acute Tank Water Unfiltered,2,290,21,7%,7,3,3%,97,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R3 Acute Tank Water Unfiltered,3,79,8,9%,9,3,3%,94,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R3 Acute Tank Water 0.22um filter,1,83,10,11%,11,3,3%,93,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R3 Acute Tank Water 0.22um filter,2,115,4,3%,3,3,3%,100,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R3 Acute Tank Water 0.22um filter,3,212,18,8%,8,3,3%,95,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,RRD-R3 Acute Tank Water 10um filter,1,90,8,8%,8,3,3%,95,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,RRD-R3 Acute Tank Water 10um filter,2,52,9,15%,15,3,3%,89,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,RRD-R3 Acute Tank Water 10um filter,3,200,24,11%,11,3,3%,93,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R3 Acute Incoming Water Unfiltered,1,99,5,5%,5,3,3%,98,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R3 Acute Incoming Water Unfiltered,2,47,4,8%,8,3,3%,95,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R3 Acute Incoming Water Unfiltered,3,49,6,11%,11,3,3%,92,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R3 Acute Incoming Water 0.22um filter,1,129,10,7%,7,3,3%,96,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R3 Acute Incoming Water 0.22um filter,2,100,0,0%,0,3,3%,103,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R3 Acute Incoming Water 0.22um filter,3,179,12,6%,6,3,3%,97,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,RRD-R3 Acute Incoming Water 10um filter,1,6,0,0%,0,3,3%,103,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,RRD-R3 Acute Incoming Water 10um filter,2,97,5,5%,5,3,3%,98,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,RRD-R3 Acute Incoming Water 10um filter,3,38,7,16%,16,3,3%,88,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R3 Acute Shed Water Unfiltered,1,96,2,2%,2,3,3%,101,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R3 Acute Shed Water Unfiltered,2,352,26,7%,7,3,3%,96,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R3 Acute Shed Water Unfiltered,3,86,1,1%,1,3,3%,102,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R3 Acute Shed Water 0.22um filter,1,87,11,11%,11,3,3%,92,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R3 Acute Shed Water 0.22um filter,2,69,19,22%,22,3,3%,82,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R3 Acute Shed Water 0.22um filter,3,46,6,12%,12,3,3%,92,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,RRD-R3 Acute Shed Water 10um filter,1,231,12,5%,5,3,3%,98,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,RRD-R3 Acute Shed Water 10um filter,2,177,12,6%,6,3,3%,97,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,RRD-R3 Acute Shed Water 10um filter,3,162,16,9%,9,3,3%,94,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R1 Acute Tank Water Unfiltered,1,74,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R1 Acute Tank Water Unfiltered,2,101,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R1 Acute Tank Water Unfiltered,3,83,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R1 Acute Tank Water 0.22um filter,1,87,7,7%,7,0,0%,93,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R1 Acute Tank Water 0.22um filter,2,67,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R1 Acute Tank Water 0.22um filter,3,76,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R1 Acute Tank Water 10um filter,1,67,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R1 Acute Tank Water 10um filter,2,89,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R1 Acute Tank Water 10um filter,3,94,3,3%,3,0,0%,97,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,LGG-R1 Acute Incoming Water Unfiltered,1,100,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,LGG-R1 Acute Incoming Water Unfiltered,2,57,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,LGG-R1 Acute Incoming Water Unfiltered,3,86,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,LGG-R1 Acute Incoming Water 0.22um filter,1,103,4,4%,4,0,0%,96,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,LGG-R1 Acute Incoming Water 0.22um filter,2,92,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,LGG-R1 Acute Incoming Water 0.22um filter,3,88,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,LGG-R1 Acute Incoming Water 10um filter,1,59,2,3%,3,0,0%,97,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,LGG-R1 Acute Incoming Water 10um filter,2,102,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R1,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,LGG-R1 Acute Incoming Water 10um filter,3,88,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,LGG-R2 Acute Shed Water Unfiltered,1,113,5,4%,4,0,0%,96,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,LGG-R2 Acute Shed Water Unfiltered,2,91,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,LGG-R2 Acute Shed Water Unfiltered,3,101,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,LGG-R2 Acute Shed Water 0.22um filter,1,86,2,2%,2,0,0%,98,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,LGG-R2 Acute Shed Water 0.22um filter,2,93,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,LGG-R2 Acute Shed Water 0.22um filter,3,81,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,LGG-R2 Acute Shed Water 10um filter,1,90,4,4%,4,0,0%,96,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,LGG-R2 Acute Shed Water 10um filter,2,97,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,LGG-R2 Acute Shed Water 10um filter,3,86,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R2 Acute Tank Water Unfiltered,1,69,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R2 Acute Tank Water Unfiltered,2,93,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R2 Acute Tank Water Unfiltered,3,52,2,4%,4,0,0%,96,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R2 Acute Tank Water 0.22um filter,1,72,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R2 Acute Tank Water 0.22um filter,2,108,1,1%,1,0,0%,99,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R2 Acute Tank Water 0.22um filter,3,97,2,2%,2,0,0%,98,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R2 Acute Tank Water 10um filter,1,103,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R2 Acute Tank Water 10um filter,2,117,5,4%,4,0,0%,96,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R2,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R2 Acute Tank Water 10um filter,3,89,0,0%,0,0,0%,100,,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R3 Acute Tank Water Unfiltered,1,74,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R3 Acute Tank Water Unfiltered,2,62,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,LGG-R3 Acute Tank Water Unfiltered,3,46,2,4%,4,0,0%,96,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R3 Acute Tank Water 0.22um filter,1,97,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R3 Acute Tank Water 0.22um filter,2,87,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,LGG-R3 Acute Tank Water 0.22um filter,3,125,4,3%,3,0,0%,97,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R3 Acute Tank Water 10um filter,1,55,2,4%,4,0,0%,96,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R3 Acute Tank Water 10um filter,2,56,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,LGG-R3 Acute Tank Water 10um filter,3,48,1,2%,2,0,0%,98,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,LGG-R3 Acute Incoming Water Unfiltered,1,64,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,LGG-R3 Acute Incoming Water Unfiltered,2,46,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,LGG-R3 Acute Incoming Water Unfiltered,3,44,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,LGG-R3 Acute Incoming Water 0.22um filter,1,61,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,LGG-R3 Acute Incoming Water 0.22um filter,2,52,3,5%,5,0,0%,95,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,LGG-R3 Acute Incoming Water 0.22um filter,3,47,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,LGG-R3 Acute Incoming Water 10um filter,1,70,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,LGG-R3 Acute Incoming Water 10um filter,2,60,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,LGG-R3 Acute Incoming Water 10um filter,3,57,1,2%,2,0,0%,98,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,LGG-R3 Acute Shed Water Unfiltered,1,76,2,3%,3,0,0%,97,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,LGG-R3 Acute Shed Water Unfiltered,2,52,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,LGG-R3 Acute Shed Water Unfiltered,3,45,1,2%,2,0,0%,98,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,LGG-R3 Acute Shed Water 0.22um filter,1,57,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,LGG-R3 Acute Shed Water 0.22um filter,2,56,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,LGG-R3 Acute Shed Water 0.22um filter,3,78,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,LGG-R3 Acute Shed Water 10um filter,1,60,1,2%,2,0,0%,98,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,LGG-R3 Acute Shed Water 10um filter,2,53,2,4%,4,0,0%,96,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGG-R3,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,LGG-R3 Acute Shed Water 10um filter,3,50,2,4%,4,0,0%,96,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,CP8-R1 Acute Tank Water Unfiltered,1,49,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,CP8-R1 Acute Tank Water Unfiltered,2,41,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,CP8-R1 Acute Tank Water Unfiltered,3,34,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,CP8-R1 Acute Tank Water 0.22um filter,1,43,0,0%,0,0,0%,100,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,CP8-R1 Acute Tank Water 0.22um filter,2,27,1,4%,4,0,0%,96,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP8-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,CP8-R1 Acute Tank Water 0.22um filter,3,29,3,9%,9,0,0%,91,,2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
